id,category,source,n_candidates,answer,base_pred,cpt_pred,base_correct,cpt_correct,base_free_pred,cpt_free_pred,base_free_correct,cpt_free_correct,outcome
30,statute_term,legislations,4,القرار,المرسوم,القرار,0,1,المرسوم,القرار,0,1,CPT gained
31,collocation,legislations,20,تدعو,الحاجة,تدعو,0,1,يقتضيه,تدعو,0,1,CPT gained
32,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,م,ومحل,0,1,CPT gained
33,defined_term,adl_rulings,24,لبنانية,لبنانية,لبنانية,1,1,وحيث,لبنانية,0,1,both correct
34,statute_term,gazette_legal_core,4,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
35,statute_term,gazette_legal_core,4,المرسوم,المرسوم,التعميم,1,0,مرسوم,مرسوم,0,0,CPT regressed
36,defined_term,gazette_legal_core,24,تدعو,الحاجة,تدعو,0,1,ما,تدعو,0,1,CPT gained
37,collocation,related_provisions,20,المدنية,المدنية,المدنية,1,1,المدني,المدنية,0,1,both correct
38,collocation,gazette_legal_core,20,ويبلغ,المرسوم,ويبلغ,0,1,في,ويبلغ,0,1,CPT gained
39,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,المادة,المرسوم,0,1,both correct
40,defined_term,gazette_legal_core,24,هذا,هذا,هذا,1,1,هذا,هذا,1,1,both correct
41,defined_term,legislations,24,تدعو,الحاجة,تدعو,0,1,يصدره,تدعو,0,1,CPT gained
42,defined_term,gazette_section2_sample,24,لبنانية,لبنانية,لبنانية,1,1,سورية,لبنانية,0,1,both correct
43,collocation,gazette_legal_core,20,الحاجة,إلى,الحاجة,0,1,إليه,الحاجة,0,1,CPT gained
44,statute_term,gazette_legal_core,4,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
45,defined_term,legislations,24,هذا,القرار,ويبلغ,0,0,القرار,هذا,0,1,both wrong
46,defined_term,adl_rulings,24,رقم,رقم,الاشتراعي,1,0,رقم,رقم,1,1,CPT regressed
47,collocation,adl_rulings,20,المدنية,المرسوم,المدنية,0,1,ان,ان,0,0,CPT gained
48,defined_term,related_provisions,24,التمييز,التمييز,التمييز,1,1,الاساس,التمييز,0,1,both correct
49,defined_term,related_provisions,24,الاشتراعي,رقم,الاشتراعي,0,1,رقم,الاشتراعي,0,1,CPT gained
50,defined_term,adl_rulings,24,الوزراء,التمييز,الوزراء,0,1,شورى,الوزراء,0,1,CPT gained
51,defined_term,gazette_legal_core,24,وزير,وزير,وزير,1,1,المديرية,وزير,0,1,both correct
52,collocation,gazette_legal_core,20,الدستور,المرسوم,الدستور,0,1,ما,الدستور,0,1,CPT gained
53,statute_term,gazette_section2_sample,4,القانون,المرسوم,القانون,0,1,المادة,القانون,0,1,CPT gained
54,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,المادة,المرسوم,0,1,both correct
55,defined_term,legislations,24,الاشتراعي,التمييز,الاشتراعي,0,1,و,الذي,0,0,CPT gained
56,defined_term,gazette_legal_core,24,حيث,وزير,حيث,0,1,ه,حيث,0,1,CPT gained
57,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,إسم,ومحل,0,1,CPT gained
58,collocation,gazette_legal_core,20,والبلديات,والبلديات,والبلديات,1,1,الامضاء,والبلديات,0,1,both correct
59,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,م,ومحل,0,1,CPT gained
60,collocation,gazette_legal_core,20,اقتراح,المرسوم,اقتراح,0,1,إعلان,اقتراح,0,1,CPT gained
61,defined_term,gazette_section2_sample,24,لبنانية,لبنانية,لبنانية,1,1,لبنانية,لبنانية,1,1,both correct
62,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,مرسوم,مرسوم,0,0,both correct
63,collocation,legislations,20,الحاجة,الحاجة,الحاجة,1,1,الحاجة,الحاجة,1,1,both correct
64,collocation,gazette_section2_sample,20,وشهرته,المرسوم,وشهرته,0,1,إسم,وشهرته,0,1,CPT gained
65,collocation,related_provisions,20,المدنية,المدنية,المدنية,1,1,المدني,المدنية,0,1,both correct
66,defined_term,gazette_legal_core,24,اقتراح,التمييز,اقتراح,0,1,المرسوم,اقتراح,0,1,CPT gained
67,statute_term,gazette_legal_core,4,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
68,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,قانون,قانون,0,0,both wrong
69,statute_term,gazette_legal_core,4,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
70,defined_term,gazette_section2_sample,24,لبنانية,لبنانية,لبنانية,1,1,لبنانية,لبنانية,1,1,both correct
71,collocation,gazette_legal_core,20,حيث,المرسوم,حيث,0,1,رئيس,حيث,0,1,CPT gained
72,collocation,gazette_section2_sample,20,وشهرته,المرسوم,وشهرته,0,1,العلامة,وشهرته,0,1,CPT gained
73,collocation,legislations,20,تدعو,الحاجة,تدعو,0,1,ما,تدعو,0,1,CPT gained
74,defined_term,adl_rulings,24,القرار,القرار,القرار,1,1,القسم,القرار,0,1,both correct
75,defined_term,legislations,24,تدعو,الحاجة,تدعو,0,1,يراه,تدعو,0,1,CPT gained
76,collocation,gazette_legal_core,20,المرسوم,المرسوم,المرسوم,1,1,القرار,المرسوم,0,1,both correct
77,defined_term,related_provisions,24,اللبنانية,اللبنانية,اللبنانية,1,1,شكر,دعوى,0,0,both correct
78,collocation,gazette_section2_sample,20,وشهرته,المرسوم,وشهرته,0,1,إيمان,وشهرته,0,1,CPT gained
79,defined_term,gazette_section2_sample,24,إلى,إلى,إلى,1,1,إلى,إلى,1,1,both correct
80,statute_term,legislations,4,القانون,المرسوم,المرسوم,0,0,مرسوم,مرسوم,0,0,both wrong
81,defined_term,legislations,24,القرار,القانون,القانون,0,0,القانون,القانون,0,0,both wrong
82,defined_term,gazette_section2_sample,24,لبنانية,لبنانية,لبنانية,1,1,لبنانية,لبنانية,1,1,both correct
83,statute_term,gazette_legal_core,4,التعميم,المرسوم,التعميم,0,1,المرسوم,التعميم,0,1,CPT gained
84,defined_term,gazette_legal_core,24,تدعو,والبلديات,تدعو,0,1,تتضمن,تدعو,0,1,CPT gained
85,statute_term,legislations,4,القرار,المرسوم,القرار,0,1,المادة,القرار,0,1,CPT gained
86,statute_term,related_provisions,4,المرسوم,المرسوم,المرسوم,1,1,مرسوم,مرسوم,0,0,both correct
87,defined_term,gazette_legal_core,24,اقتراح,اقتراح,اقتراح,1,1,قرار,اقتراح,0,1,both correct
88,collocation,gazette_legal_core,20,حيث,المرسوم,حيث,0,1,إلى,حيث,0,1,CPT gained
89,statute_term,gazette_legal_core,4,القرار,المرسوم,القرار,0,1,المرسوم,القرار,0,1,CPT gained
90,statute_term,gazette_section2_sample,4,القانون,المرسوم,المرسوم,0,0,المادة,القانون,0,1,both wrong
91,defined_term,bibliographic_rulings,24,اقتراح,اقتراح,اقتراح,1,1,طلب,اقتراح,0,1,both correct
92,collocation,legislations,20,ويبلغ,المرسوم,ويبلغ,0,1,في,ويبلغ,0,1,CPT gained
93,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,زيادة,حيث,0,0,both wrong
94,defined_term,legislations,24,الحاجة,الحاجة,الحاجة,1,1,الجهات,الحاجة,0,1,both correct
95,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,خصوص,مرسوم,0,0,both correct
96,collocation,legislations,20,الحاجة,الحاجة,الحاجة,1,1,إليه,الحاجة,0,1,both correct
97,defined_term,bibliographic_rulings,24,الداخلية,الداخلية,الداخلية,1,1,الدولة,الاعلام,0,0,both correct
98,collocation,gazette_legal_core,20,الحاجة,الحاجة,الحاجة,1,1,إليه,الحاجة,0,1,both correct
99,defined_term,related_provisions,24,الاشتراعي,رقم,الاشتراعي,0,1,رقم,المذكور,0,0,CPT gained
100,collocation,gazette_legal_core,20,الحاجة,المرسوم,الحاجة,0,1,الوزارة,الحاجة,0,1,CPT gained
101,defined_term,related_provisions,24,التمييز,التمييز,التمييز,1,1,الاساس,التمييز,0,1,both correct
102,collocation,legislations,20,الحاجة,الجريدة,الحاجة,0,1,كل,الحاجة,0,1,CPT gained
103,defined_term,gazette_legal_core,24,وزير,مجلس,وزير,0,1,مجلس,وزير,0,1,CPT gained
104,defined_term,bibliographic_rulings,24,القانون,التمييز,الاشتراعي,0,0,البينة,البينة,0,0,both wrong
105,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,و,ومحل,0,1,CPT gained
106,collocation,legislations,20,حيث,المرسوم,حيث,0,1,كل,حيث,0,1,CPT gained
107,defined_term,legislations,24,والخبر,الاشتراعي,والخبر,0,1,المادة,والخبر,0,1,CPT gained
108,statute_term,legislations,4,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
109,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,ما,المرسوم,0,1,both correct
110,collocation,gazette_legal_core,20,الوزراء,الوزراء,الوزراء,1,1,الوزراء,الوزراء,1,1,both correct
111,statute_term,legislations,4,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
112,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,القانون,المرسوم,0,1,both correct
113,statute_term,legislations,4,المرسوم,المرسوم,التعميم,1,0,وزارة,مرسوم,0,0,CPT regressed
114,statute_term,gazette_section2_sample,4,القانون,المرسوم,المرسوم,0,0,المادة,القانون,0,1,both wrong
115,defined_term,gazette_legal_core,24,الثانية,الثانية,الثانية,1,1,الثانية,الثانية,1,1,both correct
116,collocation,adl_rulings,20,المدنية,والبلديات,حيث,0,0,كان,حيث,0,0,both wrong
117,defined_term,legislations,24,تدعو,الحاجة,تدعو,0,1,يقتضيه,تدعو,0,1,CPT gained
118,defined_term,gazette_legal_core,24,الحاجة,الحاجة,الحاجة,1,1,اليه,الحاجة,0,1,both correct
119,collocation,related_provisions,20,المدنية,الجريدة,المدنية,0,1,في,المدنية,0,1,CPT gained
120,defined_term,gazette_section2_sample,24,لبنانية,لبنانية,لبنانية,1,1,لبنانية,لبنانية,1,1,both correct
121,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,م,ومحل,0,1,CPT gained
122,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,م,ومحل,0,1,CPT gained
123,collocation,legislations,20,تدعو,الحاجة,تدعو,0,1,يقتضيه,تدعو,0,1,CPT gained
124,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,المادة,اقتراح,0,0,both correct
125,collocation,legislations,20,وزير,وزير,وزير,1,1,رئيس,وزير,0,1,both correct
126,defined_term,gazette_section2_sample,24,الأولى,الأولى,الأولى,1,1,الأولى,الأولى,1,1,both correct
127,defined_term,legislations,24,اقتراح,الاشتراعي,اقتراح,0,1,المرسوم,اقتراح,0,1,CPT gained
128,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,مرسوم,مرسوم,0,0,both correct
129,statute_term,gazette_legal_core,4,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
130,statute_term,bibliographic_rulings,4,القانون,المرسوم,المرسوم,0,0,قانون,قانون,0,0,both wrong
131,collocation,legislations,20,حيث,المرسوم,حيث,0,1,ه,حيث,0,1,CPT gained
132,defined_term,legislations,24,الحاجة,الحاجة,الحاجة,1,1,به,الحاجة,0,1,both correct
133,statute_term,gazette_legal_core,4,القانون,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
134,statute_term,related_provisions,4,المرسوم,المرسوم,المرسوم,1,1,مرسوم,مرسوم,0,0,both correct
135,collocation,gazette_section2_sample,20,وشهرته,المرسوم,وشهرته,0,1,اسم,وشهرته,0,1,CPT gained
136,defined_term,related_provisions,24,التمييز,التمييز,التمييز,1,1,الاساس,التمييز,0,1,both correct
137,defined_term,adl_rulings,24,رقم,الاشتراعي,رقم,0,1,المذكور,رقم,0,1,CPT gained
138,collocation,gazette_legal_core,20,وزير,المرسوم,وزير,0,1,رئيس,وزير,0,1,CPT gained
139,collocation,legislations,20,الوزراء,الوزراء,الوزراء,1,1,الوزراء,الوزراء,1,1,both correct
140,collocation,legislations,20,اقتراح,المرسوم,اقتراح,0,1,المرسوم,اقتراح,0,1,CPT gained
141,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,المادة,اقتراح,0,0,both correct
142,defined_term,gazette_section2_sample,24,رقم,رقم,رقم,1,1,رقم,رقم,1,1,both correct
143,defined_term,related_provisions,24,التمييز,التمييز,التمييز,1,1,النقابة,التمييز,0,1,both correct
144,collocation,legislations,20,ويبلغ,الجريدة,ويبلغ,0,1,في,ويبلغ,0,1,CPT gained
145,statute_term,legislations,4,القرار,المرسوم,القرار,0,1,أن,القرار,0,1,CPT gained
146,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,م,ومحل,0,1,CPT gained
147,statute_term,legislations,4,القرار,المرسوم,التعميم,0,0,مرسوم,كتاب,0,0,both wrong
148,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,المادة,القانون,0,0,both correct
149,defined_term,gazette_section2_sample,24,لبنانية,لبنانية,لبنانية,1,1,سورية,لبنانية,0,1,both correct
150,collocation,gazette_section2_sample,20,المرسوم,المرسوم,اقتراح,1,0,طلب,اقتراح,0,0,CPT regressed
151,collocation,gazette_section2_sample,20,إلى,إلى,إلى,1,1,إلى,إلى,1,1,both correct
152,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,م,ومحل,0,1,CPT gained
153,collocation,bibliographic_rulings,20,وزير,اقامته,وزير,0,1,من,وزير,0,1,CPT gained
154,statute_term,gazette_legal_core,4,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
155,statute_term,gazette_legal_core,4,القرار,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
156,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,المادة,المرسوم,0,1,both correct
157,collocation,gazette_section2_sample,20,اقامته,اقامته,اقامته,1,1,تسجيله,اقامته,0,1,both correct
158,collocation,legislations,20,ويبلغ,المرسوم,ويبلغ,0,1,في,ويبلغ,0,1,CPT gained
159,defined_term,legislations,24,الوزراء,التمييز,الوزراء,0,1,شورى,الوزراء,0,1,CPT gained
160,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,ناء,المرسوم,0,1,both correct
161,collocation,gazette_section2_sample,20,وشهرته,المرسوم,وشهرته,0,1,الاسم,وشهرته,0,1,CPT gained
162,statute_term,gazette_legal_core,4,القرار,المرسوم,القرار,0,1,بتاريخ,القرار,0,1,CPT gained
163,defined_term,gazette_legal_core,24,وزير,وزير,وزير,1,1,مديرية,وزير,0,1,both correct
164,collocation,gazette_legal_core,20,اقتراح,المرسوم,اقتراح,0,1,المرسوم,اقتراح,0,1,CPT gained
165,defined_term,legislations,24,ويبلغ,على,ويبلغ,0,1,في,ويبلغ,0,1,CPT gained
166,statute_term,gazette_legal_core,4,القرار,المرسوم,المرسوم,0,0,المرسوم,القرار,0,1,both wrong
167,defined_term,gazette_legal_core,24,الأولى,الأولى,الأولى,1,1,تعد,الأولى,0,1,both correct
168,defined_term,related_provisions,24,الاشتراعي,رقم,الاشتراعي,0,1,رقم,الاشتراعي,0,1,CPT gained
169,collocation,gazette_section2_sample,20,وشهرته,المرسوم,وشهرته,0,1,إسم,وشهرته,0,1,CPT gained
170,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,المادة,القانون,0,0,both wrong
171,collocation,legislations,20,ويبلغ,الجريدة,ويبلغ,0,1,في,ويبلغ,0,1,CPT gained
172,defined_term,adl_rulings,24,إلى,إلى,إلى,1,1,إلى,عن,1,0,both correct
173,collocation,legislations,20,الوزراء,الوزراء,الوزراء,1,1,الوزراء,الوزراء,1,1,both correct
174,defined_term,gazette_legal_core,24,وزير,وزير,وزير,1,1,رئيس,وزير,0,1,both correct
175,defined_term,adl_rulings,24,لبنانية,لبنانية,لبنانية,1,1,ل,لبنانية,0,1,both correct
176,defined_term,gazette_legal_core,24,الأولى,الأولى,الأولى,1,1,الأولى,الأولى,1,1,both correct
177,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,الدستور,المرسوم,0,1,both correct
178,defined_term,gazette_legal_core,24,الحاجة,الحاجة,الحاجة,1,1,إليه,الحاجة,0,1,both correct
179,collocation,related_provisions,20,المدنية,المدنية,المدنية,1,1,المدني,المدنية,0,1,both correct
180,defined_term,gazette_legal_core,24,الوزراء,الوزراء,الوزراء,1,1,الوزراء,الوزراء,1,1,both correct
181,statute_term,legislations,4,القرار,القانون,القرار,0,1,قانون,القرار,0,1,CPT gained
182,collocation,legislations,20,الوزراء,الوزراء,الوزراء,1,1,الوزراء,الوزراء,1,1,both correct
183,statute_term,gazette_legal_core,4,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
184,statute_term,gazette_legal_core,4,القرار,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
185,statute_term,legislations,4,التعميم,المرسوم,التعميم,0,1,المرسوم,التعميم,0,1,CPT gained
186,statute_term,gazette_legal_core,4,التعميم,المرسوم,التعميم,0,1,المرسوم,التعميم,0,1,CPT gained
187,defined_term,legislations,24,رقم,رقم,الاشتراعي,1,0,رقم,ل,1,0,CPT regressed
188,collocation,legislations,20,المرسوم,المرسوم,المرسوم,1,1,المرسوم,المرسوم,1,1,both correct
189,defined_term,adl_rulings,24,رقم,رقم,رقم,1,1,رقم,رقم,1,1,both correct
190,collocation,related_provisions,20,المدنية,العدد,المدنية,0,1,بولاية,المدنية,0,1,CPT gained
191,collocation,gazette_legal_core,20,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
192,defined_term,legislations,24,الحاجة,الحاجة,الحاجة,1,1,إليه,الحاجة,0,1,both correct
193,statute_term,legislations,4,القانون,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
194,statute_term,gazette_legal_core,4,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
195,collocation,gazette_legal_core,20,حيث,المرسوم,حيث,0,1,المحافظين,حيث,0,1,CPT gained
196,collocation,gazette_legal_core,20,الحاجة,إلى,الحاجة,0,1,إليه,الحاجة,0,1,CPT gained
197,statute_term,gazette_legal_core,4,القرار,المرسوم,المرسوم,0,0,المرسوم,الاستدعاء,0,0,both wrong
198,collocation,legislations,20,تدعو,الحاجة,تدعو,0,1,يراه,تدعو,0,1,CPT gained
199,statute_term,legislations,4,القرار,المرسوم,القرار,0,1,المرسوم,القرار,0,1,CPT gained
200,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,التعاون,المرسوم,0,1,both correct
201,collocation,gazette_legal_core,20,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
202,collocation,legislations,20,ويبلغ,المرسوم,ويبلغ,0,1,في,ويبلغ,0,1,CPT gained
203,defined_term,gazette_legal_core,24,الأولى,الأولى,الأولى,1,1,الأولى,الأولى,1,1,both correct
204,defined_term,gazette_legal_core,24,مجلس,مجلس,مجلس,1,1,مجلس,مجلس,1,1,both correct
205,statute_term,gazette_legal_core,4,المرسوم,المرسوم,التعميم,1,0,مرسوم,مرسوم,0,0,CPT regressed
206,defined_term,gazette_section2_sample,24,مجلس,مجلس,مجلس,1,1,مجلس,مجلس,1,1,both correct
207,defined_term,adl_rulings,24,لبنانية,لبنانية,لبنانية,1,1,,لبنانية,0,1,both correct
208,defined_term,legislations,24,القرار,القرار,القرار,1,1,القرار,القرار,1,1,both correct
209,defined_term,legislations,24,تدعو,الحاجة,تدعو,0,1,يراه,تدعو,0,1,CPT gained
210,collocation,legislations,20,تدعو,الحاجة,تدعو,0,1,يراه,تدعو,0,1,CPT gained
211,collocation,legislations,20,مجلس,مجلس,مجلس,1,1,مجلس,مجلس,1,1,both correct
212,statute_term,gazette_legal_core,4,القرار,المرسوم,القرار,0,1,المرسوم,القرار,0,1,CPT gained
213,defined_term,gazette_legal_core,24,حيث,الاشتراعي,حيث,0,1,كل,حيث,0,1,CPT gained
214,statute_term,related_provisions,4,المرسوم,المرسوم,المرسوم,1,1,قانون,المرسوم,0,1,both correct
215,defined_term,legislations,24,اقتراح,التمييز,اقتراح,0,1,المرسوم,محضر,0,0,CPT gained
216,defined_term,gazette_section2_sample,24,الأولى,اللبنانية,الاشتراعي,0,0,من,من,0,0,both wrong
217,defined_term,gazette_section2_sample,24,مجلس,مجلس,مجلس,1,1,مصلحة,مصلحة,0,0,both correct
218,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,المراسيم,المرسوم,0,1,both correct
219,collocation,gazette_legal_core,20,اقتراح,المرسوم,اقتراح,0,1,طلب,اقتراح,0,1,CPT gained
220,statute_term,gazette_legal_core,4,المرسوم,المرسوم,التعميم,1,0,وزارة,مرسوم,0,0,CPT regressed
221,statute_term,gazette_section2_sample,4,القانون,المرسوم,القانون,0,1,المادة,القانون,0,1,CPT gained
222,defined_term,adl_rulings,24,رقم,رقم,الاشتراعي,1,0,رقم,رقم,1,1,CPT regressed
223,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,المادة,المرسوم,0,1,both correct
224,defined_term,gazette_section2_sample,24,العامة,العامة,العامة,1,1,العامة,الادارية,1,0,both correct
225,statute_term,gazette_legal_core,4,التعميم,المرسوم,التعميم,0,1,المرسوم,التعميم,0,1,CPT gained
226,collocation,associated_studies_ar,20,الوزراء,الوزراء,الوزراء,1,1,الوزراء,القضاء,1,0,both correct
227,collocation,gazette_legal_core,20,الحاجة,الجريدة,الحاجة,0,1,الجمعية,الحاجة,0,1,CPT gained
228,defined_term,legislations,24,تدعو,الحاجة,تدعو,0,1,ما,تدعو,0,1,CPT gained
229,defined_term,gazette_legal_core,24,والخبر,الاشتراعي,والخبر,0,1,الذي,والخبر,0,1,CPT gained
230,statute_term,gazette_legal_core,4,التعميم,المرسوم,التعميم,0,1,المرسوم,التعميم,0,1,CPT gained
231,collocation,gazette_section2_sample,20,وشهرته,المرسوم,وشهرته,0,1,العميد,وشهرته,0,1,CPT gained
232,collocation,gazette_legal_core,20,القانون,المرسوم,القانون,0,1,المرسوم,القانون,0,1,CPT gained
233,collocation,gazette_legal_core,20,وزير,المرسوم,وزير,0,1,رئيس,وزير,0,1,CPT gained
234,collocation,gazette_legal_core,20,اقتراح,المرسوم,اقتراح,0,1,المراسيم,اقتراح,0,1,CPT gained
235,collocation,legislations,20,حيث,المرسوم,حيث,0,1,كل,حيث,0,1,CPT gained
236,collocation,legislations,20,وزير,المرسوم,وزير,0,1,رئيس,وزير,0,1,CPT gained
237,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,هذا,المرسوم,0,1,both correct
238,statute_term,adl_rulings,4,القانون,القانون,المرسوم,1,0,قانون,المرسوم,0,0,CPT regressed
239,statute_term,gazette_legal_core,4,المرسوم,المرسوم,التعميم,1,0,مرسوم,مرسوم,0,0,CPT regressed
240,collocation,legislations,20,تدعو,الحاجة,تدعو,0,1,يقتضيه,تدعو,0,1,CPT gained
241,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,قانون,المرسوم,0,1,both correct
242,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
243,statute_term,legislations,4,المرسوم,المرسوم,التعميم,1,0,وزارة,مرسوم,0,0,CPT regressed
244,collocation,gazette_legal_core,20,تدعو,الحاجة,تدعو,0,1,ما,تدعو,0,1,CPT gained
245,collocation,legislations,20,حيث,المرسوم,حيث,0,1,كل,حيث,0,1,CPT gained
246,collocation,legislations,20,تدعو,الحاجة,تدعو,0,1,يوجب,تدعو,0,1,CPT gained
247,statute_term,gazette_legal_core,4,القرار,المرسوم,القرار,0,1,المرسوم,القرار,0,1,CPT gained
248,statute_term,adl_rulings,4,القرار,المرسوم,المرسوم,0,0,قانون,قانون,0,0,both wrong
249,statute_term,legislations,4,المرسوم,المرسوم,التعميم,1,0,مرسوم,مرسوم,0,0,CPT regressed
250,defined_term,bibliographic_rulings,24,القرار,القرار,القرار,1,1,القرار,القرار,1,1,both correct
